Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.29,10,Resonant Freq Suppression 4th,int,Hz,10000,0,10000,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.30,11,Notch Width 4th,int,Hz,10,0,20,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.31,12,Notch Depth 4th,int,Hz,100,0,100,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.32,13,Resonant Freq Suppression 5th,int,Hz,10000,0,10000,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.33,14,Notch Width 5th,int,Hz,10,0,20,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.34,15,Notch Depth 5th,int,Hz,100,0,100,SET/STR,Always,O,
Resonant Suppression,Adaptive Notch Filter (ANF),Ft-4.22/D0,16,ANF Function,enum,-,0,0,1,SET/STR,Servo Off,O,0: Disable; 1: Enable
Resonant Suppression,Adaptive Notch Filter (ANF),Ft-4.22/D1,17,ANF HPF Cutoff Frequency,enum,-,1,0,1,SET/STR,Servo Off,O,0: Low; 1: High
Resonant Suppression,Adaptive Notch Filter (ANF),Ft-4.22/D2,18,ANF Estimation Frequency Initial Value Selection,enum,-,1,0,1,SET/STR,Servo Off,O,0: Low; 1: High
Resonant Suppression,Adaptive Notch Filter (ANF),Ft-4.22/D3,19,ANF Detect Level,enum,-,1,0,3,SET/STR,Servo Off,O,0: Low; 1: Middle; 2: High
Vibration Suppression,Vibration Suppression,Ft-3.22/D0,1,Vibration Auto Search,int,-,0,0,1,SET/STR,Servo Off,O,2016.02.11 추가
Vibration Suppression,Vibration Suppression,Ft-3.22/D1,2,Vibration Filter Type,int,-,0,0,2,SET/STR,Servo Off,O,2016.02.11 추가
Vibration Suppression,Vibration Suppression,Ft-3.14,3,1st Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,
Vibration Suppression,Vibration Suppression,Ft-3.15,4,1st Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
Vibration Suppression,Vibration Suppression,Ft-3.16,5,2nd Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,
Vibration Suppression,Vibration Suppression,Ft-3.17,6,2nd Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
Bode Plot,Bode Plot,Ft-4.26/D0,1,Bode Plot Function,int,-,0,0,1,SET/STR,Servo Off,O,Cia402 오브젝트는 지원하지 않음 [v1.20+]
Bode Plot,Bode Plot,Ft-4.26/D1,2,Driving Mode Selection,int,-,0,0,1,SET/STR,Servo Off,O,[v1.20+]
Bode Plot,Bode Plot,Ft-4.26/D2,3,Excitation Amplitude,int,-,4,1,7,SET/STR,Servo Off,O,[v1.20+]
Bode Plot,Resonant Freq Suppression Filter,Ft-4.13,4,Resonant Freq Suppression,int,-,10000,0,10000,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.14,5,Notch Width,int,-,10,0,20,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.15,6,Notch Depth,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Bode Plot,Resonant Freq Suppression Filter,Ft-4.16,7,Resonant Freq Suppression 2nd,int,-,10000,0,10000,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.17,8,Notch Width 2nd,int,-,10,0,20,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.18,9,Notch Depth 2nd,int,-,100,0,100,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.19,10,Resonant Freq Suppression 3rd,int,-,10000,0,10000,SET/STR,Always,O,CSD7 신규기능
Bode Plot,Resonant Freq Suppression Filter,Ft-4.20,11,Notch Width 3rd,int,-,10,0,20,SET/STR,Always,O,CSD7 신규기능
Bode Plot,Resonant Freq Suppression Filter,Ft-4.21,12,Notch Depth 3rd,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Bode Plot,Resonant Freq Suppression Filter,Ft-4.29,13,Resonant Freq Suppression 4th,int,Hz,10000,0,10000,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.30,14,Notch Width 4th,int,Hz,10,0,20,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.31,15,Notch Depth 4th,int,Hz,100,0,100,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.32,16,Resonant Freq Suppression 5th,int,Hz,10000,0,10000,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.33,17,Notch Width 5th,int,Hz,10,0,20,SET/STR,Always,O,
Bode Plot,Resonant Freq Suppression Filter,Ft-4.34,18,Notch Depth 5th,int,Hz,100,0,100,SET/STR,Always,O,
Encoders,(top-level),Ft-3.00/D2,1,Encoder Output Forward Direction,enum,-,0,0,1,SET/STR,Servo Off,O,0: A Leads B; 1: B Leads A
Encoders,(top-level),Ft-3.11/3.12,2,Output Ratio (Pulses),int,-,1,1,8388608,SET/STR,Servo Off,O,
Encoders,(top-level),Ft-0.05/D0,3,Encoder Backup Battery,enum,-,1,0,1,STR,Drive Off=>On,O,0: Installed; 1: Not Installed [v1.06+]
